Invoice,Product,Quantity,Price
01069586,Peas,1.1,0.33
01069586,Tuna,5,5.0
07088623,Grapes,0.94,0.43
07088623,Raisins,1,0.45
07088623,Sausages,0.5,1.2
07088623,Pears,1.83,0.6
07088623,Lettuce,4.22,5.28
07088623,Cooking Oil,1.0,1.2
08083256,Tuna,2,2.0
08083256,Pork,3.71,7.05
08083256,Cheese,1.5,2.85
08083256,Potatos,1.04,0.12
08083256,Apples,0.58,0.17
08083256,Tomatos,0.8,0.12
08083256,Crackers,1,0.7
08083256,Mushrooms,0.66,1.52
02021420,Shampoo,2,6.22
02021420,Beer,12,18.0
07034144,Toothpaste,2,1.6
07034144,Corn,0.8,0.16
07034144,Grapes,1.47,0.68
04042892,Diapers,40,96.0
04042892,Plums,1.47,1.47
03032473,Salt,0.75,0.08
03032473,Bleach,1,0.8
03032473,Sausages,1.0,2.4
03032473,Oranges,2.0,0.56
03032473,Cookies,4,4.4
03032473,Pasta,1.0,0.5
03032473,Diapers,8,19.2
03032473,Cheese,0.5,0.95
03032473,Wine,3,10.2
03032473,Rice,4.5,3.38
02007605,Eggs,12,9.6
02008686,Oranges,3.16,0.88
02008686,Beef,1.71,3.76
02008686,Flour,2,1.0
02008686,Salt,1.0,0.1
02008686,Pork,3.47,6.59
02008686,Potatos,3.28,0.39
00021428,Plums,0.21,0.21
00021428,Potatos,4.96,0.6
00021428,Shampoo,1,3.11
00021428,Eggs,30,24.0
00021428,Lemons,0.88,0.09
00021428,Oranges,2.89,0.81
00021428,Ham,1.5,2.4
00021428,Cheese,2.0,3.8
00021428,Toilet Paper,6,1.5
00021428,Salt,1.0,0.1
04058201,Apples,3.96,1.19
04058201,Toothpaste,1,0.8
04058201,Pork,3.73,7.09
04058201,Eggs,6,4.8
04058201,Potatos,3.13,0.38
04058201,Carrots,1.26,0.25
04058201,Cheese,0.5,0.95
04058201,Sugar,1.0,0.4
04058201,Chiken,1.81,3.26
06043000,Pasta,1.0,0.5
06043000,Grapes,2.96,1.36
06043000,Soda,6,6.6
06043000,Raisins,0.5,0.23
06043000,Cookies,4,4.4
06043000,Apples,1.71,0.51
02037713,Beer,24,36.0
02037713,Pears,3.52,1.16
02037713,Soda,4,4.4
02037713,Raisins,0.5,0.23
02037713,Water,6,1.32
02037713,Detergent,2.0,3.0
02037713,Chiken,1.47,2.65
02037713,Broccoli,0.87,0.27
02037713,Toothpaste,1,0.8
02037713,Eggs,12,9.6
07048294,Wine,3,10.2
07048294,Potatos,4.26,0.51
07048294,Beef,2.21,4.86
07048294,Cookies,2,2.2
07048294,Broccoli,1.17,0.36
07048294,Tuna,5,5.0
07048294,Beer,24,36.0
07048294,Eggs,6,4.8
07048294,Soap,1,0.25
09018184,Tuna,3,3.0
09018184,Cooking Oil,2.0,2.4
09018184,Potatos,2.95,0.35
09018184,Water,2,0.44
09018184,Lemons,0.55,0.06
09018184,Pasta,1.5,0.75
09018184,Diapers,8,19.2
09018184,Plums,1.38,1.38
09018184,Cookies,4,4.4
09018184,Pears,0.23,0.08
10069862,Shampoo,1,3.11
07050144,Cooking Oil,1.5,1.8
07050144,Soap,6,1.5
07050144,Chiken,0.74,1.33
07050144,Detergent,2.0,3.0
07050144,Eggs,36,28.8
06096287,Potatos,2.88,0.35
06096287,Pears,1.54,0.51
06096287,Raisins,1,0.45
06096287,Carrots,1.8,0.36
06096287,Pork,3.75,7.13
06096287,Lettuce,2.07,2.59
06096287,Beef,2.09,4.6
09022198,Mushrooms,0.94,2.16
09022198,Pasta,2.0,1.0
02015684,Ham,2.0,3.2
02015684,Eggs,12,9.6
10049588,Sugar,2.0,0.8
10049588,Lemons,0.43,0.04
10049588,Milk,4,3.2
10049588,Diapers,16,38.4
10049588,Raisins,0.5,0.23
10049588,Pears,2.35,0.78
10049588,Lettuce,4.16,5.2
10049588,Eggs,18,14.4
03084852,Apples,0.3,0.09
03084852,Milk,5,4.0
03084852,Mushrooms,0.78,1.79
03084852,Cereal,1,2.8
03084852,Pears,2.25,0.74
03084852,Peaches,1.82,1.71
03084852,Bleach,1,0.8
06007540,Beer,12,18.0
06007540,Toilet Paper,6,1.5
06007540,Wine,3,10.2
06007540,Eggs,30,24.0
06007540,Corn,2.11,0.42
06007540,Crackers,4,2.8
06007540,Potatos,2.39,0.29
06007540,Grapes,2.6,1.2
04096357,Cookies,1,1.1
04096357,Chiken,1.77,3.19
04096357,Lettuce,3.56,4.45
04089041,Pasta,1.0,0.5
04089041,Flour,3,1.5
04089041,Plums,0.45,0.45
04089041,Grapes,0.91,0.42
04089041,Pork,2.3,4.37
04089041,Salt,0.25,0.03
04089041,Rice,1.0,0.75
04089041,Eggs,30,24.0
04089041,Soda,7,7.7
04089041,Tomatos,1.65,0.25
03096746,Beef,2.03,4.47
03096746,Tuna,3,3.0
07025757,Pasta,2.0,1.0
07025757,Apples,0.39,0.12
07025757,Toilet Paper,24,6.0
01041340,Crackers,4,2.8
02050591,Grapes,2.87,1.32
06035337,Sausages,0.5,1.2
06035337,Ham,0.5,0.8
06035337,Fish,0.55,0.77
04099414,Carrots,0.79,0.16
04099414,Toothpaste,3,2.4
04099414,Rice,3.5,2.63
04099414,Cereal,2,5.6
04099414,Eggs,18,14.4
10026403,Broccoli,1.03,0.32
10026403,Tomatos,2.36,0.35
10026403,Plums,0.4,0.4
10026403,Oranges,2.17,0.61
10026403,Milk,4,3.2
10026403,Pasta,1.5,0.75
10026403,Lettuce,2.21,2.76
10026403,Chiken,1.98,3.56
10026403,Mushrooms,0.79,1.82
10026403,Cereal,2,5.6
00043473,Raisins,0.5,0.23
00043473,Cooking Oil,2.5,3.0
02026876,Peaches,1.84,1.73
09003677,Soap,6,1.5
09003677,Peaches,0.81,0.76
03070544,Lettuce,2.07,2.59
03070544,Fish,0.76,1.06
03070544,Potatos,1.86,0.22
03070544,Peas,1.19,0.36
03070544,Salt,0.25,0.03
03070544,Tuna,3,3.0
03070544,Apples,1.78,0.53
02034615,Detergent,2.0,3.0
02034615,Bleach,2,1.6
02034615,Flour,3,1.5
02034615,Corn,1.9,0.38
02034615,Sausages,1.0,2.4
02034615,Milk,5,4.0
02034615,Eggs,18,14.4
02034615,Sugar,1.0,0.4
02034615,Peas,1.01,0.3
02034615,Tomatos,2.83,0.42
00060736,Potatos,2.98,0.36
00060736,Cheese,1.0,1.9
00060736,Soda,7,7.7
00060736,Tomatos,2.3,0.35
00060736,Mushrooms,0.82,1.89
00060736,Lettuce,3.19,3.99
00060736,Grapes,1.07,0.49
00060736,Sugar,0.5,0.2
00060736,Cookies,5,5.5
00060736,Beef,0.69,1.52
10015892,Milk,2,1.6
10015892,Detergent,2.0,3.0
10015892,Fish,1.46,2.04
10015892,Toothpaste,1,0.8
10015892,Tomatos,1.18,0.18
10015892,Cookies,2,2.2
10015892,Shampoo,1,3.11
10015892,Plums,1.5,1.5
10015892,Flour,3,1.5
07008113,Eggs,12,9.6
02077521,Grapes,1.7,0.78
02077521,Lettuce,0.77,0.96
02077521,Eggs,12,9.6
02077521,Pears,1.78,0.59
02077521,Sausages,1.5,3.6
02077521,Cookies,6,6.6
