Invoice,Date,Customer,Store
01069586,1996-11-28,03200,Carlisle
07088623,1996-11-27,09492,Cambridge
08083256,1996-11-24,01416,Cardiff
02021420,1996-11-24,00393,Newcastle
07034144,1996-11-01,02589,Grimsby
04042892,1996-11-19,05182,Newcastle
03032473,1996-11-15,09364,Sheffield
02007605,1996-11-08,02029,Liverpool
02008686,1996-11-21,08486,Edinburgh
00021428,1996-11-30,00080,Swansea
04058201,1996-11-16,05360,Swansea
06043000,1996-11-11,00691,Brimingham
02037713,1996-11-15,06726,Newcastle
07048294,1996-11-23,03712,Glasgow
09018184,1996-11-12,06657,London
10069862,1996-11-10,06303,Aberdeen
07050144,1996-11-16,09590,Cardiff
06096287,1996-11-27,09221,Grimsby
09022198,1996-11-12,00819,Dover
02015684,1996-11-07,01592,Grimsby
10049588,1996-11-02,02240,Cambridge
03084852,1996-11-28,09907,Swansea
06007540,1996-11-20,02390,Cardiff
04096357,1996-11-18,07110,Felixstowe
04089041,1996-11-20,08990,Grimsby
03096746,1996-11-13,02210,Southamton
07025757,1996-11-11,04295,Carlisle
01041340,1996-11-03,01993,Grimsby
02050591,1996-11-25,00679,Brimingham
06035337,1996-11-20,02363,Sheffield
04099414,1996-11-25,03794,Glasgow
10026403,1996-11-09,00793,Dover
00043473,1996-11-02,04702,Manchester
02026876,1996-11-29,06584,Brimingham
09003677,1996-11-11,04606,Aberdeen
03070544,1996-11-13,00321,London
02034615,1996-11-06,06482,Brimingham
00060736,1996-11-24,01853,London
10015892,1996-11-21,05506,Liverpool
07008113,1996-11-24,03777,Felixstowe
02077521,1996-11-23,09987,Manchester
04023779,1996-11-08,03856,Southamton
06049164,1996-11-04,02143,Felixstowe
01099757,1996-11-03,08747,Southamton
07058928,1996-11-16,05081,Manchester
06007262,1996-11-21,08020,Sheffield
05003235,1996-11-23,04921,Aberdeen
09005965,1996-11-19,05467,Manchester
10037627,1996-11-22,03580,Newcastle
01073288,1996-11-14,07597,Plymouth
01003415,1996-11-14,04944,Sheffield
05052378,1996-11-15,04434,Glasgow
07065682,1996-11-03,09988,Cardiff
06067908,1996-11-21,05475,Carlisle
09093372,1996-11-13,00094,Edinburgh
03030207,1996-11-03,01320,Brimingham
03047768,1996-11-17,09612,Grimsby
00009958,1996-11-10,03579,Southamton
09005801,1996-11-05,08010,Plymouth
03066882,1996-11-20,05719,Carlisle
10076668,1996-11-10,04789,Sheffield
02059804,1996-11-08,03016,Newcastle
02034008,1996-11-14,06264,Brimingham
08065986,1996-11-16,08694,Cardiff
00056041,1996-11-09,01658,Cardiff
04076292,1996-11-02,07093,Southamton
03009672,1996-11-04,02963,Cardiff
00031925,1996-11-11,02097,Manchester
10001991,1996-11-01,07423,Southamton
01017304,1996-11-14,06309,Carlisle
02073911,1996-11-11,03818,Aberdeen
09019204,1996-11-21,04952,Southamton
03058171,1996-11-06,08771,Carlisle
07030567,1996-11-26,03302,Glasgow
09073658,1996-11-20,06413,Glasgow
08035956,1996-11-17,07291,London
08068505,1996-11-18,07159,Brimingham
01062982,1996-11-19,05025,Southamton
05061782,1996-11-19,08617,London
06002434,1996-11-18,09403,Felixstowe
03033703,1996-11-17,00215,Felixstowe
10031818,1996-11-26,07169,Carlisle
09020933,1996-11-06,01732,Newcastle
06059330,1996-11-22,05313,Carlisle
06006003,1996-11-07,05774,Liverpool
07013689,1996-11-28,08206,Glasgow
10005453,1996-11-25,02847,Cambridge
00087589,1996-11-26,06243,Felixstowe
01057077,1996-11-28,07026,Dover
03006654,1996-11-28,05197,Cambridge
01084359,1996-11-28,01801,Grimsby
09092500,1996-11-06,08216,Glasgow
04078366,1996-11-19,04715,Brimingham
08076068,1996-11-11,08487,Manchester
09094671,1996-11-28,08215,Carlisle
05009740,1996-11-17,09055,Carlisle
10053445,1996-11-21,01342,Sheffield
05081835,1996-11-29,04333,London
03077038,1996-11-30,06538,Cardiff
